iter	Logloss
0	0.3273453525
1	0.188070393
2	0.1411819354
3	0.1141938167
4	0.09497051679
5	0.08287195338
6	0.0740538381
7	0.06326536699
8	0.05596587389
9	0.05021620897
10	0.04373278158
11	0.04021561518
12	0.03497508552
13	0.029947946
14	0.02773647748
15	0.02435676958
16	0.02206638031
17	0.02061324074
18	0.01913772542
19	0.01778600271
20	0.01637171276
21	0.01504069656
22	0.0141886319
23	0.01334043888
24	0.01249093375
25	0.01195102598
26	0.01138913971
27	0.01075567222
28	0.01027359503
29	0.009589757492
30	0.009016192267
31	0.00859328882
32	0.008231563516
33	0.007791568984
34	0.007487254356
35	0.007205144036
36	0.006830789341
37	0.006619454077
38	0.006330188611
39	0.006098182425
40	0.005894627306
41	0.005679412645
42	0.005454876691
43	0.005306457729
44	0.005182760218
45	0.005036806316
46	0.004884744758
47	0.004684915051
48	0.004567914287
49	0.004450581291
50	0.004268831282
51	0.004119965244
52	0.004021834163
53	0.003901834889
54	0.003811760544
55	0.003720806929
56	0.003639849102
57	0.003530328601
58	0.003412110511
59	0.003332951984
60	0.003246728568
61	0.003154671176
62	0.0030772094
63	0.00301775777
64	0.002965902538
65	0.002910305396
66	0.002842139033
67	0.002787731072
68	0.002750564624
69	0.002690696652
70	0.00264974171
71	0.002598331127
72	0.002560405912
73	0.002537521449
74	0.002501912162
75	0.002445155601
76	0.002404616678
77	0.002355977994
78	0.002309572422
79	0.002263695932
80	0.002223269425
81	0.002199424656
82	0.002160361858
83	0.002129234161
84	0.002097155378
85	0.002074138442
86	0.00204285126
87	0.002017132786
88	0.001989042419
89	0.001967953859
90	0.00193937598
91	0.001911906407
92	0.001881971126
93	0.001860369821
94	0.001835114759
95	0.001808520412
96	0.001781974751
97	0.001766350085
98	0.001745158005
99	0.00172542167
100	0.001707036589
101	0.001681315203
102	0.001667898416
103	0.001648208826
104	0.001629356128
105	0.001609040083
106	0.001592376339
107	0.001565687207
108	0.001548022072
109	0.001531206607
110	0.001512088155
111	0.001492698286
112	0.001477514226
113	0.001457319816
114	0.001445482512
115	0.001425262869
116	0.001412577836
117	0.001398678874
118	0.001379987925
119	0.001363458756
120	0.001348292164
121	0.001334137557
122	0.001321490293
123	0.001307599418
124	0.001295248236
125	0.0012851833
126	0.001269931952
127	0.001256256851
128	0.001246822414
129	0.001238071369
130	0.001227259798
131	0.001216749647
132	0.001206345603
133	0.001195357402
134	0.001188008886
135	0.001178906278
136	0.001170084143
137	0.001160425926
138	0.001154482446
139	0.001140099206
140	0.001129666776
141	0.001122520526
142	0.001114926717
143	0.001104200873
144	0.001096810221
145	0.001086972138
146	0.001081998022
147	0.001072565607
148	0.00106393191
149	0.001056317154
150	0.001047474235
151	0.001042509661
152	0.001034371241
153	0.001028865778
154	0.001019479785
155	0.00100847921
156	0.001000520737
157	0.0009927870946
158	0.0009832139578
159	0.0009749726654
160	0.0009669343684
161	0.0009608278443
162	0.0009545920824
163	0.0009472155021
164	0.0009381436266
165	0.0009326297522
166	0.0009260981507
167	0.0009197697872
168	0.0009138807351
169	0.0009083122702
170	0.0009035061302
171	0.0008976947986
172	0.000893225259
173	0.0008887532932
174	0.0008821156649
175	0.000876696333
176	0.0008717605508
177	0.0008653745237
178	0.0008591035004
179	0.0008548480361
180	0.0008475038057
181	0.0008431002599
182	0.0008369058249
183	0.0008313668793
184	0.0008262979774
185	0.0008236388177
186	0.0008202428895
187	0.0008166527813
188	0.0008106661943
189	0.0008074267587
190	0.0008029581896
191	0.0007971761346
192	0.000793512673
193	0.0007905061565
194	0.0007851180422
195	0.0007822605777
196	0.0007788834125
197	0.0007754817423
198	0.0007725295736
199	0.0007693266125
