global_max_products,global_max_difference_products,global_max_all_price,global_max_difference_all_price,global_max_shops,global_max_difference_shops,global_max_price,global_max_difference_price,global_min_products,global_min_difference_products,global_min_all_price,global_min_difference_all_price,global_min_shops,global_min_difference_shops,global_min_price,global_min_difference_price,difference_left_products,difference_left_difference_products,difference_left_all_price,difference_left_difference_all_price,difference_left_shops,difference_left_difference_shops,difference_left_price,difference_left_difference_price,difference_right_products,difference_right_difference_products,difference_right_all_price,difference_right_difference_all_price,difference_right_shops,difference_right_difference_shops,difference_right_price,difference_right_difference_price,local_min_products,local_min_difference_products,local_min_all_price,local_min_difference_all_price,local_min_shops,local_min_difference_shops,local_min_price,local_min_difference_price,local_max_products,local_max_difference_products,local_max_all_price,local_max_difference_all_price,local_max_shops,local_max_difference_shops,local_max_price,local_max_difference_price,month
3,4,3,3,6,4,9,3,16,16,16,16,11,11,15,16,17.091603053435115,-1.3884083044982698,9.187367256629718,-1.3216838731129865,1.507936507936508,-12.0,1.0,-1.118715639483697,0,5,0,5,0,6,7,3,8.539282990083905,-0.9916589434661723,5.134876997246502,-1.0141602489355077,1.0919540229885059,-2.0,1.9393820643635027,-1.1244594566772845,16,17,16,17,10,9,15,15,49
5,7,4,6,2,4,3,5,11,13,10,15,11,11,15,17,1.0,-1.0143266475644699,1.0,-0.8341825627270885,80.0,-0.3333333333333333,4.739064748550232,-0.5817380490297029,5,1,5,1,4,4,3,3,882.0,-0.5636942675159236,1791.1568795542223,-0.5273538051938347,1.1594202898550725,-2.0,1.124264274512702,-4.015876417262443,10,12,10,14,10,12,15,16,47
2,3,2,3,2,6,3,5,1,4,1,4,1,2,3,3,21.928571428571427,-7.875,21.83010826424751,-50.47909272169368,9.666666666666666,6.0,1.7572347726863458,1.0,2,3,2,4,0,5,0,5,2.265682656826568,-0.6974169741697417,2.2700930383387754,-0.7110596666013326,1.380952380952381,-0.2857142857142857,1.02913601274257,-0.5727554603211785,1,4,1,4,0,2,3,3,13
2,2,2,2,2,6,6,9,6,8,7,9,3,4,5,9,2091.0,-57.77777777777778,3451.8955878955894,-97.48268182836098,95.0,-12.0,1.951439206453533,1.0,0,7,2,7,0,4,2,2,9.293333333333333,-1.0601427115188584,9.32440033270997,-1.095177840221667,2.878787878787879,-0.6792452830188679,1.1860440104816756,-0.9820778399061022,5,9,7,10,2,6,5,9,26
4,2,4,2,6,5,2,8,12,14,12,14,7,12,13,17,107.0,-2.217391304347826,1125.775153846154,-3.8516634552912397,51.0,-3.75,32.95771902457234,-7.684615384615385,0,9,1,10,0,5,2,5,21.4,-1.3783783783783783,21.63924674821572,-1.380829240857883,10.2,-0.6818181818181818,1.016535035191855,-0.7385546212523344,9,15,12,15,5,12,14,17,43
2,3,2,2,3,6,15,2,14,13,14,16,13,13,10,15,23.22429906542056,-1.3513257575757576,13.960235156053006,-1.110989396011367,2.6285714285714286,1.0,1.0,-0.7186508097032238,0,3,0,4,0,4,2,0,2.683585313174946,-0.9153303399615138,1.9764015610739656,-0.849812686274057,1.0823529411764705,-3.2,1.6636037148235827,-1.1750699583112056,14,15,14,17,12,15,11,15,49
4,2,4,2,3,2,0,3,18,19,18,19,9,8,16,17,10.887218045112782,-1.5146016444570456,8.779516698621505,-1.6516120851350717,1.5238095238095237,5.0,1.4084601025667312,-1.291102541449491,1,5,1,6,0,6,3,4,6.003316749585406,-1.027505289478746,4.504950088492491,-1.0422656130119943,1.103448275862069,-2.5,1.0,-1.2748757440061373,18,19,18,19,12,12,16,17,49
2,3,2,3,4,3,3,4,17,16,17,16,8,11,16,17,16.340616966580978,-0.7865442071483899,12.072923807379834,-0.7902831509742955,1.5238095238095237,1.0,1.3592616730451024,-0.9682460523338092,1,6,1,5,0,4,5,1,8.578272604588394,-0.6946154597869637,6.77937110993735,-0.6148608090891357,1.0786516853932584,-1.75,1.4864797542845738,-1.2743266531685504,17,17,17,17,7,9,16,16,49
3,3,3,3,2,2,2,3,4,5,4,5,2,3,4,5,7.0574468085106385,-1.3347398030942335,5.3160563022331475,-1.3133917428125028,1.4444444444444444,11.0,1.292125735340894,-3.7033899604599028,4,2,4,2,1,4,2,4,36.855555555555554,-1.1711229946524064,29.855496401046825,-1.1745254052965164,2.3333333333333335,-0.22448979591836735,1.327571870438237,-0.2431332852002036,4,5,4,5,1,4,4,5,12
3,2,3,2,2,4,0,1,2,2,2,2,3,2,2,4,8.840637450199203,-3.422608695652174,7.267210917509442,-4.031414968279368,1.75,-1.4,1.7321538831848577,-1.8505498240735008,3,2,3,1,2,2,0,2,184.91666666666666,-1.0518439337252805,120.84067781076423,-1.0879432371587854,10.11111111111111,-0.2692307692307692,1.0,-0.2618282984405554,2,3,2,2,1,3,2,3,11
0,0,0,0,1,2,7,3,2,3,2,2,1,1,3,4,11791.0,-18.721021611001966,14589.267780429596,-14.362121345677126,90.0,-58.0,1.5291026252983297,-1.5239737470167063,0,3,1,4,0,2,1,2,1.0,1.0,1.0,1.0,1.0344827586206897,-29.0,1.2358158974282467,-7.913362021116271,2,4,3,3,0,3,3,4,14
0,1,0,1,0,2,2,5,1,2,1,2,0,2,1,1,116.0,-9.751219512195123,110.26921574791145,-9.936544605334015,27.0,8.5,1.3547446594590125,1.0,0,2,0,2,0,1,2,4,1.0,-0.8206075533661741,1.0,-0.7665497403582874,1.0,-0.3148148148148148,1.4247527609853354,-1.0519708443849805,1,1,1,1,0,0,1,1,7
3,3,3,3,2,5,1,7,9,10,9,11,7,8,8,11,2863.0,-1.3281884646628757,3640.263944530048,-1.8194130198309788,92.0,-40.0,2.4452238486705995,1.0,0,6,0,6,0,3,2,1,2.2740270055599683,-1.184782608695652,2.1753506434624983,-1.1996179438575165,1.0454545454545454,-6.666666666666667,1.3483859776263893,-1.0,8,10,8,11,5,9,9,12,33
1,2,1,2,3,3,5,5,4,5,4,5,1,4,4,3,5.629464285714286,-1.1122846025569761,4.888118787183995,-1.1613097425651584,1.4444444444444444,10.0,1.158518764741351,1.0,1,2,1,2,0,3,2,2,1.678349600709849,-0.631828228607515,1.6409360890024947,-0.5964252527678465,1.123456790123457,-0.12345679012345678,1.1719150632530835,-0.15667705454676095,5,4,5,4,0,3,3,3,12
1,2,1,2,1,4,4,5,6,9,6,11,5,7,10,12,1854.0,-3.5519713261648747,2506.1288461538466,-3.6145052389003167,91.0,-23.0,3.617809123765165,1.0,0,5,1,4,0,3,2,1,2.1020408163265305,-1.0195473251028806,1.9428151869672656,-1.0206724812968029,1.1375,-4.6,1.1785384721302412,-1.0,6,9,7,11,5,8,10,13,31
5,4,5,4,3,3,1,3,10,11,11,11,6,9,9,9,8.0625,-1.9243604004449388,7.671463454615072,-1.97318069846239,1.55,-1.0555555555555556,1.4485823305009589,-4.236763952826649,4,4,3,4,2,4,4,3,61.275,-0.4607190412782956,48.08986715436572,-0.4412539514383104,2.735294117647059,-0.76,1.0662607730269142,-0.315475747663062,10,11,11,11,5,9,9,9,30
0,0,0,0,3,1,4,6,15,17,15,17,7,10,15,16,42.331896551724135,-1.3178432642487046,36.58422487036553,-1.3708894117806714,1.5737704918032787,-0.34285714285714286,1.424963720153345,-2.057697447715565,2,6,2,6,1,5,4,3,1.0,1.0,1.0,1.0,6.0,1.2,1.5552401604212387,-1.2092283220715003,16,17,16,17,9,11,15,16,49
1,3,1,3,1,1,1,3,5,6,5,6,2,3,5,5,1002.0,-2.2252475247524752,1047.181708076684,-2.711571835718516,89.0,-50.0,1.3808253332549316,1.0,0,3,0,3,0,2,1,5,3.99203187250996,-1.0260214562885186,3.2023559781700013,-1.046002337645663,1.1125,-10.0,1.0612334893532887,-3.381635673890393,5,5,5,5,3,4,6,6,20
4,2,4,2,3,2,5,3,7,9,7,10,4,8,9,10,2685.0,-31.695652173913043,5346.481827275759,-33.480572019945434,75.0,-9.75,3.0742469712126264,-1.070120756197397,0,5,0,6,0,5,0,7,1342.5,-2.011959521619135,1237.103541393411,-2.082621042515379,75.0,-0.9512195121951219,2.122879729833448,-1.0166984469893194,5,9,6,11,4,7,8,10,27
5,3,3,3,3,1,4,2,7,8,6,8,4,5,5,6,4447.0,-53.689189189189186,3396.519914270405,-58.606557692603836,89.0,-27.5,1.6130798040910401,-0.967958564029291,1,2,1,2,0,2,1,3,1.7731259968102073,-2.1938155715074545,1.4094988545528566,-4.690084630622914,1.0853658536585367,-11.0,1.6885528413252338,-2.576170363026442,6,7,6,7,3,6,5,7,23
3,4,3,4,3,5,0,2,9,9,9,10,6,8,4,7,8.236263736263735,-6.0458015267175576,9.148749051702108,-6.258616620986681,3.4074074074074074,3.0,1.7606343627040988,-0.9898065606391617,2,3,1,4,0,5,0,7,15.778947368421052,-0.822429906542056,9.954978445217927,-0.8761016579528783,1.84,-0.36,1.0,-0.2194989423317571,8,9,8,10,5,7,4,7,26
1,1,1,1,4,2,6,2,17,18,18,18,14,12,18,18,17.731843575418996,-1.7657237936772046,8.970036031725563,-1.484688628323509,1.5737704918032787,-1.8571428571428572,1.511499690696053,-1.0663182766487633,2,5,2,4,0,1,6,1,8.352631578947369,-0.949874686716792,4.928762844882291,-0.91466682162552,1.1428571428571428,-2.1666666666666665,1.9767862149833444,-5.211093787196203,18,19,19,19,12,13,17,17,49
4,2,4,2,3,5,1,4,17,19,17,19,10,11,17,19,9.122330097087378,-1.3057217651458488,6.320324238151005,-1.2155651020922393,1.507936507936508,8.0,1.4127846550769876,-1.954042374030977,2,3,2,4,0,2,5,2,5.3174872665534805,-1.0602793805040995,3.974238004252377,-1.0878698171167904,1.0674157303370786,-1.6,1.5362336230533704,-1.0366894444881125,17,19,17,19,8,12,17,19,49
0,0,0,0,4,4,5,12,9,10,9,10,5,8,11,12,14718.0,-27.508670520231213,73478.59301014656,-16.212943200787727,92.0,-42.0,8.146922172792308,1.0,0,5,1,5,0,3,2,1,1.0,1.0,1.0,1.0,1.069767441860465,-14.0,1.6318548794558363,-1.0787313274935466,9,11,9,11,5,9,11,12,33
1,1,1,2,2,4,5,5,16,18,15,18,12,14,13,15,1569.3333333333333,-1.2951662667123758,2089.8142869710564,-1.2277939720990558,94.0,-3.25,2.372108471671014,-1.5008397905499657,1,6,1,8,0,3,2,3,7.069069069069069,-1.0342184505885574,5.408068442179574,-1.0546167523136134,1.119047619047619,-1.1470588235294117,1.4069231429985358,-1.5529393117873238,16,18,15,18,12,14,12,15,49
8,5,7,5,5,5,2,2,5,5,6,6,4,6,5,7,18.41176470588235,-2.395348837209302,18.38060178731128,-1.9940772671194982,8.777777777777779,-2.4444444444444446,1.4234081610609943,-1.4417677061350007,0,3,0,4,0,4,3,4,4.536231884057971,-1.791304347826087,3.2579998123416263,-1.7751137761589688,1.6458333333333333,-0.44,1.0519131584958896,-0.18404936066051517,4,5,5,6,3,6,5,6,21
2,1,2,1,4,6,3,3,10,10,10,11,5,7,8,9,15.49671052631579,-1.8239523927597323,13.383054856342339,-2.1167133154229005,1.5238095238095237,8.0,1.4748716401883324,-4.209373914804617,2,5,3,4,1,7,1,3,12.960110041265475,-1.6665156320797463,13.850672065219584,-1.4959376162169984,1.8113207547169812,-0.1509433962264151,1.308061614855283,-0.3074519153856539,9,11,9,12,4,7,8,8,33
3,3,2,3,3,5,7,2,14,16,14,17,9,12,13,14,16.58855098389982,-1.43996623760287,9.64246793780274,-1.2667337344922978,2.111111111111111,10.0,1.0,-1.182557959889969,0,3,0,3,0,4,9,5,3.4979253112033195,-1.2574166206007003,2.6808849912683868,-1.203864655250755,1.0919540229885059,-1.0,1.7203636134340008,-0.6958319272729073,13,15,14,16,8,12,14,14,49
5,6,6,5,3,4,9,4,15,15,16,16,12,14,12,17,7.8191780821917805,-4.54989816700611,4.86072429259107,-5.6922242322561525,1.5689655172413792,-2.75,1.397415198567752,-5.839064754235409,1,2,1,2,0,4,4,1,5.719438877755511,-1.3849969001859888,4.190366782592361,-1.3717408030648337,1.058139534883721,-1.0,1.6760380044424885,-0.8961028834289205,15,16,16,17,13,15,13,16,49
